name,review_count,rating,lat,long,price
The Pillar Hotel,2,3.0,51.5834,-0.2163263,£££
Bulgari Hotel - London,10,4.5,51.501536,-0.162789,££££
The Red Lion Hotel,5,3.5,51.685339,-0.318466,££
The Draycott,4,5.0,51.4930610656738,-0.159959003329277,£££
The Windermere - Hotel & Brasserie,16,4.5,51.490359,-0.145936,££
The Lodge Hotel,4,4.5,51.4576355782765,-0.206214660577416,££
The Arch London,15,4.5,51.515972,-0.159814,£££
Brook Green Hotel,14,4.0,51.4973732,-0.2228846,££
Aviva Holiday Studios,4,5.0,51.4945462842526,-0.228463035598638,££
The Holmes Hotel,20,3.5,51.5210546187993,-0.156072708598344,££
W12 Rooms,4,4.0,51.5045326,-0.2191174,££
The New London Carlton Hotel,1,5.0,51.5342436,-0.1878918,None
The Enterprise Hotel,3,4.5,51.5440680572043,-0.152571808452271,££
Travelodge Hotel,1,3.0,51.635304,-0.1761,£
Four Seasons Hotel,29,4.5,51.5044391859339,-0.149880248341834,££££
Royal Park Hotel,16,4.5,51.5140501,-0.1765312,£££
11 Cadogan Gardens,11,4.5,51.493533704065,-0.159166531174037,££
Bankside Hotel,7,5.0,51.5077324,-0.1050443,None
Travelodge Hotel,1,1.0,51.53804,-0.283136,£
Heatherbank Guest House,2,5.0,51.617226,-0.17879,££
Aerotel,1,5.0,51.4697761535645,-0.4495590031147,None
Sofitel ,50,4.5,51.507572834636,-0.13251408519246,£££
Afternoon Tea,13,5.0,51.4969179,-0.1676494,£££
Crescent Hotel,6,4.5,51.5262838,-0.1270723,£
The Bailey’s Hotel London,47,3.5,51.4940067839874,-0.182480116717755,££
London Marriott Hotel Maida Vale,34,3.0,51.5357669378,-0.190297029912,£££
Kew Gardens Hotel,2,5.0,51.4761031281616,-0.286880735915542,None
Ashburn Hotel,10,4.5,51.4945349856719,-0.186055699803947,££
Red Lion Hotel (London),11,3.5,51.534552,-0.460814,£££
Royal Lancaster London,42,4.0,51.512371,-0.175182,££
Luna Simone Hotel,22,4.5,51.490892,-0.138727,££
Knightsbridge Hotel,8,4.5,51.4981661,-0.1642037,£££
The Langham London,76,4.5,51.5177971001259,-0.143983186883702,££££
Best Western Mornington Hotel,15,3.5,51.512107,-0.178359,££
The London EDITION,44,4.5,51.5165663165253,-0.136568941983944,£££
The Rockwell Hotel,8,4.5,51.494439,-0.192979,££
Afternoon Tea at The Montague on The Gardens,56,4.5,51.52014261,-0.12558305,£££
Holiday Inn London - Brentford Lock,9,3.5,51.4825727,-0.3126936,££
Moxy London Heathrow Airport,15,3.0,51.480226,-0.414795,££
Portobello Hotel,5,4.5,51.5122027,-0.2035827,£££
Mercure London Hyde Park Hotel,1,5.0,51.5150334,-0.1742911,None
St. Ermin's Hotel Autograph Collection,123,4.0,51.4989304968664,-0.133800663215879,£££
The Caesar Hotel 4,22,4.0,51.5135917,-0.1827586,££
Holiday Inn Hotel London-Ealing,2,3.0,51.529936,-0.294048,££
The Stafford London,9,5.0,51.505918,-0.140391,££££
OYO Abbey Hotel,3,4.0,51.5063293541184,-0.224833920237757,£
The Z Hotel Piccadilly,11,4.5,51.5089718,-0.1314339,££
Darlington Hyde Park,9,4.0,51.515603,-0.171287,££
The Kensington Gardens Hotel,1,5.0,51.5133583,-0.1900571,£
Hempel Hotels,14,4.0,51.5130534,-0.182371,£££
Byron Hotel,6,3.5,51.5119742,-0.1851357,££
Hilton London Hyde Park,37,3.0,51.5104863798633,-0.187543331119741,££
myhotel,10,4.0,51.491938,-0.168589,££
Conrad London St. James,67,4.5,51.499352,-0.132922,£££
The Beaumont,8,4.5,51.51306,-0.152256,£££
Great Scotland Yard Hotel,2,5.0,51.5062952700701,-0.12628510594368,None
Hub Premier Inn,10,4.5,51.4989475320884,-0.132892395235955,£
Haymarket Hotel,20,4.5,51.5080197,-0.1311541,£££
Savoy Hotel,95,4.5,51.509711,-0.120045,££££
The Zetter Townhouse Marylebone,12,4.5,51.5148506164551,-0.158677995204926,£££
Ibis Shepherds Bush,2,4.0,51.5021099,-0.2200733,££
Holiday Inn London - West,2,2.5,51.52099,-0.262977,££
Twenty Nevern Square Hotel,12,4.0,51.4916,-0.1963035,££
Hilton London Paddington,92,3.0,51.5157526580863,-0.175882600189798,£££
Morgan Hotel,2,5.0,51.5180446,-0.1275755,££
Travelodge Hotel - Borehamwood Studio Way,1,2.0,51.662811,-0.262042,None
Dylan Paddington,1,5.0,51.5143596,-0.1804725,None
Holiday Inn Express ,13,4.0,51.4864494,-0.2032464,££
Renaissance London Heathrow Hotel,80,2.5,51.4808975589811,-0.446391543126879,££
Holiday Inn,4,4.5,51.4816428108666,-0.461758202440069,None
Grove End Hotel,1,3.0,51.6538966,-0.3760918,££
The Sumner Hotel,11,4.0,51.5152138,-0.1608312,££
Park Avenue Baker Street,3,4.0,51.5240975,-0.1609137,££
Dawson House Hotel,1,4.0,51.544256,-0.186507,None
The Nadler Soho,18,4.5,51.5147387,-0.1341108,£££
Holiday Inn Express Hotel Wandsworth-Battersea,10,3.5,51.4621129812147,-0.188907980923955,££
Kimpton Fitzroy London,9,4.5,51.5226349,-0.1249981,£££
The Pilgrm,2,5.0,51.5157585144043,-0.174393996596336,None
The Soho Hotel,51,4.0,51.513944,-0.133896,£££
Anchor Guest House,2,3.5,51.5706321,-0.1933185,None
The Marylebone Hotel,34,4.0,51.5180684097082,-0.149774551391602,£££
Limetree Hotel,14,4.0,51.4932719,-0.1500756,££
Claridge's,107,4.5,51.512611807224,-0.14789937950015,££££
Green Rooms Hotel,2,4.5,51.597085,-0.110765,££
Premier Inn London Putney Bridge,10,3.5,51.468586,-0.210617,££
Amba Hotel Charing Cross,36,4.5,51.508459,-0.124932,£££
Hilton London Angel Islington,28,3.5,51.5362022,-0.1048415,££
Holiday Inn,13,3.0,51.4947654579971,-0.456386081297728,££
Flynns,1,5.0,51.494756,-0.2347618,££
Grosvenor House Suites by Jumeirah Living,3,5.0,51.509892,-0.155116,£££
Mimi's Hotel Soho,8,4.5,51.5140329,-0.1320651,££
Hub by Premier Inn,4,4.5,51.5336638077301,-0.122056831444198,None
Danubius Hotel,25,4.0,51.5294075012207,-0.168528005480766,£££
